,min,Q1,median,Q3,max,ori_mean,filtered_mean
GRWD1,0.8155754288625725,4.359134292904929,4.918386155563788,5.35895869738944,7.5712975825048545,4.813598902090949,4.862123475007089
GSTM2,0.0,0.8155754288625725,2.6276049494071163,4.404630684217612,8.541716163393138,2.7251899132536623,2.7251899132536623
GSTZ1,0.5753123306874368,3.865917795612605,4.372594459366088,4.95942240612261,6.941341105485299,4.4031109271046125,4.40495844632816
GTF2A2,4.135042286233651,6.014355241174332,6.3824942988397275,6.768018457794455,8.542180649888099,6.385024415923752,6.390696602217464
GTF2E2,2.0806576633452254,4.308156975114762,4.699602640250523,5.120704430624215,6.557195624528546,4.689914817493014,4.696558315051967
GTPBP8,1.2203299548795556,3.1811025507537978,3.5686400673192304,3.9404016405987203,6.924337464075348,3.545873059598394,3.5498539789172128
HACD3,0.0285691521967709,5.673061637950236,6.061668203347332,6.514477234647609,7.74153440048218,6.012096469153798,6.049637198339209
HADH,2.8875252707415875,4.813267525339431,5.324990468111816,5.94057744988052,8.532083141492505,5.365255648938185,5.360725137503915
HAT1,2.400537929583729,5.767323631415603,6.196331634265758,6.547511498915067,8.010444185168987,6.123432964966056,6.146567055276604
HDAC2,3.641546029087524,6.545002610082911,7.048704827421137,7.461070107063238,9.386142717734575,7.005480366063012,7.01464227952524
HDAC6,2.4672794804599825,4.344802696814061,4.831116104033772,5.344917038112967,7.482041541985604,4.846761894369558,4.846221126444117
HEATR1,0.722466024471091,3.7070829917717054,4.118109010489487,4.513490745588118,6.087038456766948,4.10553609158551,4.12723783231023
HEBP1,0.0,4.325516828632747,5.01903259392245,5.538146815153043,7.954138136026865,4.77668570833034,4.993109840592684
HERC6,0.01435529297707,1.2047565383115544,2.15704371014558,2.9713081380576503,6.801417365865913,2.183113034447134,2.1411337408728146
HERPUD1,2.440952198029637,5.1617860763610635,5.71177017760189,6.3788583832700345,9.7632123668144,5.839181906601362,5.793661556894216
HES1,0.0285691521967709,2.6718564659638098,4.1996440899194845,5.060912049587874,8.848309957449287,3.7289606888942832,3.7289606888942832
HIF1A,2.39231742277876,5.336818113805776,6.1112381941263525,6.928014935644125,9.50555355237088,6.114975036754242,6.120300727189113
HK1,0.2265085298086797,4.8980861636873705,5.6704437843130515,6.356055099822017,8.542722361858322,5.4650003980550546,5.64345597702814
HLA-DMA,0.137503523749935,1.484136400891297,2.504615352794507,3.9490677391575475,8.902616297257664,2.936481341258316,2.874154841555684
HLA-DRA,0.0,0.5058909297299572,1.0,3.477675585852574,12.172458762532267,2.617960709515702,1.6157977977127131
HMG20B,2.711494906650088,5.345270327397283,5.861210982109815,6.420759471134049,9.445263208140442,5.898833600231901,5.847840368467036
HMGA2,0.0,0.3700908416896576,3.5090455515247276,5.384737492884419,10.058262371862472,3.286411525581972,3.286411525581972
HMGCR,1.622930350920177,4.81185588543053,5.347485353270248,5.919041625947815,8.468583317006829,5.359544809822561,5.360789766043468
HMGCS1,1.599317793698226,5.308063445011999,6.163092977800574,6.917849384382908,10.105777586565452,6.142318926628891,6.132255846794041
HMOX1,0.0565835283663675,2.4342030785256705,3.7070677664922256,5.030004627917241,10.867201505573778,3.741132348960564,3.7309376863616897
HOMER2,0.137503523749935,2.116863038240316,3.3736440148348485,4.243554805091177,7.101818134227409,3.187517792919954,3.187517792919954
HOOK2,1.7398481026993275,3.946028476743604,4.674110565216117,5.49113076008549,7.3466023752989855,4.7113296126054,4.7113296126054
HOXA10,0.0,0.34197730617937877,2.933572638261024,4.09592368050338,8.070711322098937,2.632385028075617,2.632385028075617
HOXA5,0.0,0.9616197560842652,1.903038270112912,2.8140308266560456,6.370338677039775,1.944214422506356,1.9254951117670729
HPRT1,3.127633279725874,5.695924111144195,6.18903348561217,6.599578087159862,8.596264312101166,6.1271627286880905,6.147474647099433
HS2ST1,0.7484612330040357,3.496973580998276,3.9537307747008597,4.449231087333141,6.489607156748714,3.9633464987835407,3.9584962601646487
HSD17B10,3.7092906357233577,6.3926179510253505,6.825716822632801,7.205004772262289,10.819221103550154,6.794088226454429,6.809493580605943
HSD17B11,0.137503523749935,3.8262939765001933,4.889229967586382,5.5758396028727795,7.596637034102074,4.58170293703912,4.746361337199718
HSPA1A,0.0285691521967709,3.3319143320159066,6.086181046034401,7.268820126539521,9.295240882568365,5.34845896277036,5.34845896277036
HSPA4,3.6982184782244136,5.905987269896253,6.369815160606084,6.695611101819033,8.923327485419192,6.307021978397632,6.322349623076869
HSPA8,4.689299160535892,9.72375043857755,10.184359006368096,10.572700226487292,11.61074803897785,10.056312753222066,10.136093891587027
HSPB1,0.6229303509201767,7.202540085847424,8.475165419990551,9.388902443310041,11.84971784645969,8.105579379662894,8.295576373937495
HSPD1,5.064365540263628,8.436503317161197,8.89499948926149,9.366289320924071,10.793115555274348,8.870029237530797,8.875473677727175
HTATSF1,2.6182386555954547,5.211887811769479,5.637203433538346,6.016807462506072,8.820721466943851,5.645065024664367,5.628621969727275
HTRA1,0.0,0.46204517354903374,2.919567873363171,5.325708561248464,11.324124278164168,3.129007991211291,3.129007991211291
HYOU1,1.5801454844233804,6.1613808032895765,6.764473251957802,7.269710870771037,10.365556945763792,6.717507866705388,6.733137984979258
IARS2,2.144046369616707,5.735928112787792,6.149137343941142,6.554089886254273,7.699954114054752,6.11996208052397,6.148967836482392
ICAM1,0.0,1.1634987322828796,3.0513710520920814,5.154208996404761,8.355747507771335,3.2225697896902874,3.2225697896902874
ICAM3,0.070389327891398,2.2802134221982335,2.980025300238734,3.7021005365487456,8.334675529934652,3.1361401644661777,2.8736470489921935
ICMT,2.582556003014061,4.8733208108966455,5.352793818602218,5.805421428875901,7.427019455836342,5.304692718877897,5.322311054823862
ID2,0.4541758931858021,4.067159589789214,5.655924099583025,6.8510915800955985,9.958233692312588,5.403405206477665,5.403405206477665
IDE,0.9708536543404837,3.3128795255402768,3.702657543390911,4.085339481678328,5.4799419014771305,3.688553332350822,3.698816179759126
IER3,0.2509615735332188,3.5764839107744795,6.371470791021418,7.5322777256346045,11.140829770773,5.5851512524646,5.5851512524646
IFNAR1,1.8953026213333068,3.9188630006790355,4.310339937354859,4.741736548267373,5.98436149044871,4.326904559044154,4.336476099208727
IFRD2,0.7824085649273732,5.48510378937574,6.006297954068636,6.388878308000785,7.368506461507692,5.917180098060835,5.945384836872578
IGF1R,0.0,2.3483693721202537,3.118523697204238,3.9342777621986476,7.142923927614353,3.0675099177867624,3.055960718214101
IGF2BP2,0.0,3.0793551042852605,4.71699089440494,5.455736607827352,7.475490259624267,4.017404676774876,4.017404676774876
IGF2R,0.1243281350022017,4.877376027599283,5.4693960642527415,6.0198679552803664,8.132268365770457,5.399128696057512,5.462318472265114
